Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  55 - 59 Years,5292,4871,4363,4409,4206,3949,3740,3577,3391,3212,3039,2824,2642,2465,2315,2089,1963,1848,1587,1315,1114,1076,858,836,803,757,729,703,676,643,626,626,605,627,617,619,606,615,584,557,551,547,545,560,1000,900,900,800,800,700,700,600,700,411,700,800,800,600,500,600,600,500,600,600,600,500,541
  60 - 64 Years,3512,3179,2876,2930,2789,2670,2499,2370,2233,2162,2052,2004,1985,1803,1568,1352,1135,894,810,781,691,761,739,694,651,624,613,606,625,635,616,597,595,547,526,529,514,503,516,507,501,476,428,390,500,400,500,500,400,400,400,500,500,317,600,600,500,500,500,500,400,300,400,300,300,300,291
  65 - 69 Years,2307,2061,1829,1903,1850,1766,1728,1711,1578,1411,1284,1090,900,833,791,724,678,650,595,550,535,595,597,598,603,599,571,567,544,522,506,482,447,460,440,440,423,383,335,316,276,267,267,251,300,300,300,300,300,400,300,300,300,243,400,400,300,200,200,200,200,200,200,100,200,100,216
  70 - 74 Years,1491,1379,1257,1324,1176,1067,907,750,707,704,645,632,620,594,519,497,473,454,463,465,461,525,535,531,496,487,471,423,408,372,359,347,319,279,270,238,225,221,214,197,193,186,180,175,na,na,na,na,na,na,na,na,na,104,na,na,na,na,na,na,na,na,na,na,na,na,123
  75 - 79 Years,861,704,539,565,581,529,516,519,501,460,437,420,398,390,399,381,353,342,315,303,287,416,371,334,299,274,262,243,213,207,183,171,167,168,na,na,na,na,na,na,na,na,na,97,na,na,na,na,na,na,na,na,na,63,na,na,na,na,na,na,na,na,na,na,na,na,52
  80 - 84 Years,391,372,360,376,332,333,332,304,303,316,310,275,259,237,217,207,208,205,196,181,160,184,168,149,137,130,117,105,102,97,89,86,91,87,na,na,na,na,na,na,na,na,na,48,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20
  85 - 89 Years,229,226,202,199,213,202,178,171,150,148,133,123,116,105,104,93,90,79,70,67,61,70,57,47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,5412,4869,4313,4473,4248,3976,3745,3531,3319,3112,2874,2599,2342,2205,2072,1941,1834,1762,1667,1599,1532,1842,1780,1706,1630,1576,1500,1409,1333,1261,1198,1136,1067,1032,989,946,901,852,787,738,673,643,624,592,700,700,600,700,600,800,600,600,600,465,700,700,500,400,400,400,400,500,500,400,400,300,423
  70 Years & Over,3105,2808,2484,2570,2398,2210,2017,1820,1741,1701,1590,1509,1442,1372,1281,1217,1156,1112,1072,1049,997,1247,1183,1108,1027,977,929,842,789,739,692,654,620,572,549,506,478,469,452,422,397,376,357,341,400,400,300,400,300,400,300,300,300,222,300,300,200,200,200,200,200,300,300,300,200,200,207
  75 Years & Over,1614,1429,1227,1246,1222,1143,1110,1070,1034,997,945,877,822,778,762,720,683,658,609,584,536,722,648,577,531,490,458,419,381,367,333,307,301,293,279,268,253,248,238,225,204,190,177,166,na,na,na,na,na,na,na,na,na,118,na,na,na,na,na,na,na,na,na,na,na,na,84
  80 Years & Over,753,725,688,681,641,614,594,551,533,537,508,457,424,388,363,339,330,316,294,281,249,306,277,243,232,216,196,176,168,160,150,136,134,125,na,na,na,na,na,na,na,na,na,69,na,na,na,na,na,na,na,na,na,55,na,na,na,na,na,na,na,na,na,na,na,na,32
  85 Years & Over,362,353,328,305,309,281,262,247,230,221,198,182,165,151,146,132,122,111,98,100,89,122,109,94,95,86,79,71,66,63,61,50,43,38,na,na,na,na,na,na,na,na,na,21,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12
  90 Years & Over,133,127,126,106,96,79,84,76,80,73,65,59,49,46,42,39,32,32,28,33,28,52,52,47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Ethnic Groups (Females),77807,73318,69447,70354,69683,69169,68482,67840,66895,66593,66240,65763,65594,65916,62749,53109,47829,41790,35975,31174,28688,28047,25985,24625,23494,22515,21434,20607,19870,19140,18189,17220,16236,15320,14313,13982,13676,13424,13098,12664,12271,11868,11504,11143,24100,23400,22900,22200,21500,20800,20100,19600,19000,11462,17900,16900,17100,16300,15000,15600,15900,15100,14800,14800,14900,14500,16330
  0 - 4 Years,3309,3350,3317,3242,3249,3291,3446,3475,3438,3420,3722,4051,4346,4902,5007,4373,3944,3425,2933,2544,2408,2305,2146,2047,2076,2133,2163,2279,2308,2297,2273,2178,1990,1825,1640,1477,1382,1404,1433,1325,1230,1095,998,902,2300,2500,2600,2600,2700,2500,2400,2300,2200,1221,1900,1800,1900,1900,1800,1900,1900,2000,1900,2000,2100,2000,2445
  5 - 9 Years,4322,4258,4129,4108,4089,4348,4600,4868,5152,5425,5422,5347,5274,5311,5032,4460,4189,3669,3159,2627,2381,2285,2160,2006,2008,2008,1975,1842,1732,1686,1560,1429,1343,1255,1230,1243,1185,1078,909,874,868,855,841,849,2500,2400,2300,2200,2100,2000,2000,2100,2100,1322,2200,2000,2100,2000,1700,2000,2000,1800,1800,1800,1800,1700,2128
  10 - 14 Years,4593,4496,4486,4880,5091,5002,5010,4871,4831,4841,4863,4882,4806,4629,4310,3604,3137,2813,2459,2189,2102,2055,1871,1737,1679,1581,1440,1359,1285,1188,1115,1052,986,892,832,818,822,812,837,838,845,857,904,907,1900,1900,2000,2000,2000,2100,2100,2000,1900,1273,2000,1900,1900,1800,1600,1600,1800,1600,1700,1500,1300,1100,1132
  15 - 19 Years,4880,4642,4395,4484,4447,4452,4418,4403,4252,4100,3876,3696,3580,3433,3150,2795,2500,2218,1952,1781,1660,1594,1486,1395,1250,1151,1083,1034,970,900,874,856,836,866,812,819,824,890,899,919,953,1027,1037,1093,2100,2200,2200,2100,2100,2000,1900,1800,1700,1174,1800,1700,1600,1700,1300,1200,1100,900,700,800,800,1000,1250
  20 - 24 Years,4149,3901,3674,3804,3634,3467,3368,3307,3183,3098,3118,3029,2970,3097,3163,2711,2389,2119,1850,1586,1415,1365,1282,1225,1165,1153,1112,1085,1164,1215,1205,1156,1181,1129,1040,1090,1193,1225,1286,1303,1293,1244,1206,1104,2500,2400,2300,2200,2100,2000,2000,1800,1800,1013,1300,1100,900,700,700,800,1000,900,1000,1100,1200,1100,1367
  25 - 29 Years,4083,3834,3636,3746,3836,4027,4005,3951,3815,3913,4094,4513,5272,6263,6312,4652,3791,3198,2644,2200,2070,2034,1900,1963,1961,1979,1874,1922,1911,1929,1847,1811,1689,1632,1552,1575,1546,1543,1466,1395,1313,1230,1123,1083,2800,2700,2600,2600,2400,2100,1900,1700,1600,646,900,900,1100,1000,1100,1100,1100,1100,1200,1200,1200,1200,1527
  30 - 34 Years,6531,6161,5790,5747,5827,6019,6209,6513,6905,7308,7806,8245,8714,9030,8731,7003,6330,5347,4485,3638,3356,3091,2884,2690,2625,2531,2497,2383,2321,2260,2121,1933,1823,1664,1510,1459,1416,1327,1288,1237,1195,1145,1145,1048,2800,2500,2200,2000,1800,1800,1700,1700,1700,857,1100,1000,1100,1100,1100,1200,1200,1300,1300,1400,1400,1400,1561
  35 - 39 Years,8595,8114,7842,8061,8188,8404,8483,8679,8653,8844,8940,9030,8974,9044,8495,7226,6532,5612,4593,3856,3508,3335,2992,2846,2666,2504,2310,2183,2001,1827,1670,1558,1398,1286,1199,1181,1163,1173,1093,942,820,725,628,633,2100,1900,1800,1600,1600,1500,1400,1400,1300,748,1200,1200,1400,1300,1300,1300,1300,1300,1300,1300,1300,1200,1265
  40 - 44 Years,9443,8735,8334,8375,8489,8468,8463,8423,8491,8358,8206,7803,7506,7068,6370,5426,4972,4302,3762,3325,3018,2799,2551,2352,2105,1925,1767,1587,1430,1350,1262,1215,1176,1073,903,786,693,597,614,672,705,719,751,754,1500,1200,1300,1200,1200,1300,1200,1200,1200,711,1300,1300,1300,1200,1200,1200,1100,1100,1000,900,900,900,929
  45 - 49 Years,8391,8046,7687,7901,7758,7576,7279,7010,6559,6199,5813,5510,5093,4779,4416,3847,3537,3141,2704,2377,2133,2016,1822,1665,1553,1407,1310,1268,1179,1003,844,715,585,593,633,668,675,712,718,697,672,663,618,614,1000,1100,1100,1100,1000,1000,1000,1000,1000,621,1300,1100,1100,1000,900,900,900,800,800,800,800,800,796
  50 - 54 Years,7096,6580,6162,5961,5586,5249,4953,4586,4340,4203,3933,3636,3389,3054,2814,2455,2241,1964,1690,1506,1353,1475,1412,1321,1121,939,800,664,669,691,723,703,713,691,667,658,660,626,625,597,600,590,601,566,800,800,800,800,800,800,800,800,700,487,900,800,800,800,700,700,800,700,700,700,700,600,607
  55 - 59 Years,4785,4364,3834,3867,3683,3456,3153,2944,2744,2540,2339,2165,2004,1811,1685,1510,1418,1335,1210,1019,831,870,746,750,750,774,752,759,730,707,677,675,638,639,611,607,600,601,560,543,509,513,488,456,600,600,600,600,600,500,500,600,600,400,700,700,600,600,500,600,600,500,400,500,500,500,477
  60 - 64 Years,3100,2732,2430,2397,2239,2024,1915,1789,1631,1545,1465,1381,1341,1242,1046,884,757,616,599,635,663,764,769,754,729,703,689,645,635,606,603,605,608,566,548,523,507,485,448,433,426,395,380,361,400,400,400,500,400,400,400,400,400,307,500,600,500,400,400,400,400,400,400,300,300,300,317
  65 - 69 Years,1833,1622,1436,1453,1370,1299,1232,1189,1101,961,825,714,609,605,635,652,630,627,618,616,601,673,633,625,594,590,592,593,559,546,520,499,478,450,428,410,382,349,339,317,299,299,292,291,300,300,200,200,200,300,300,300,300,276,400,400,400,400,300,300,300,300,200,100,200,300,224
  70 - 74 Years,1168,1060,977,991,849,725,624,527,521,574,605,589,593,589,573,560,564,539,534,516,493,570,580,547,524,482,454,423,399,387,376,352,324,322,290,271,269,269,260,251,228,202,191,184,na,na,na,na,na,na,na,na,na,186,na,na,na,na,na,na,na,na,na,na,na,na,165
  75 - 79 Years,619,516,416,440,490,520,506,520,512,511,499,502,479,478,459,442,442,441,378,352,310,400,359,326,318,300,283,256,259,243,232,233,241,229,na,na,na,na,na,na,na,na,na,157,na,na,na,na,na,na,na,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,74
  80 - 84 Years,409,397,415,423,404,405,400,374,388,389,385,375,376,322,291,257,232,226,218,230,215,213,189,186,176,174,168,176,179,182,166,141,122,119,na,na,na,na,na,na,na,na,na,96,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,41
  85 - 89 Years,285,294,270,277,264,272,267,271,243,231,202,180,158,156,161,159,146,127,128,116,110,112,117,111,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,4530,4105,3731,3781,3567,3386,3180,3021,2901,2799,2643,2475,2325,2253,2218,2163,2092,2031,1935,1891,1790,2059,1964,1874,1806,1727,1663,1598,1539,1482,1414,1337,1271,1209,1136,1079,1012,951,926,889,842,810,784,773,800,800,700,700,700,800,800,800,800,682,800,800,800,800,700,700,700,700,600,500,600,700,529
  70 Years & Over,2697,2483,2295,2328,2197,2087,1948,1832,1800,1838,1818,1761,1716,1648,1583,1511,1462,1404,1317,1275,1189,1386,1331,1249,1212,1137,1071,1005,980,936,894,838,793,759,708,669,630,602,587,572,543,511,492,482,500,500,500,500,500,500,500,500,500,406,400,400,400,400,400,400,400,400,400,400,400,400,305
  75 Years & Over,1529,1423,1318,1337,1348,1362,1324,1305,1279,1264,1213,1172,1123,1059,1010,951,898,865,783,759,696,816,751,702,688,655,617,582,581,549,518,486,469,437,418,398,361,333,327,321,315,309,301,298,na,na,na,na,na,na,na,na,na,220,na,na,na,na,na,na,na,na,na,na,na,na,140
  80 Years & Over,910,907,902,897,858,842,818,785,767,753,714,670,644,581,551,509,456,424,405,407,386,416,392,376,370,355,334,326,322,306,286,253,228,208,na,na,na,na,na,na,na,na,na,141,na,na,na,na,na,na,na,na,na,120,na,na,na,na,na,na,na,na,na,na,na,na,66
  85 Years & Over,501,510,487,474,454,437,418,411,379,364,329,295,268,259,260,252,224,198,187,177,171,203,203,190,194,181,166,150,143,124,120,112,106,89,na,na,na,na,na,na,na,na,na,45,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25
  90 Years & Over,216,216,217,197,190,165,151,140,136,133,127,115,110,103,99,93,78,71,59,61,61,91,86,79,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for 1970 and from 1980 onwards refer to Singapore residents (citizens and permanent residents).  Data prior to 1980 (except 1970) refer to total population.  Data from 2003 onwards exclude residents who are overseas for a continuous period of 12 months or longer as at the reference period.  For more information, please refer to the 'Population Trends' publication (www.singstat.gov.sg/publications/population/population-trends) and the Information Paper on 'Singapore Resident Population, 2003-2007' (www.singstat.gov.sg/-/media/files/publications/population/respop.pdf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Indians (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Male Indians (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Female Indians (Number):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 1970, Indians include Sri Lankans (Ceylonese) who were previously classified under 'Others'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 18/03/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
